# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
1.255135107e-01 2.371986e-02 4.376822e-02 4.746025e-02 4.991589e-02 5.230877e-02 5.795479e-02 7.918086e-02 9.953504e-02 1.083652e-01 1.203631e-01 1.238411e-01 1.780818e-01 2.120472e-01 2.427782e-01 2.710016e-01 2.852969e-01 3.966454e-01 5.057405e-01 6.323749e-01 7.788290e-01 9.531725e-01 1.201326e+00 1.580185e+00 2.382886e+00 8.390818e+00 
1.315555985e-01 1.463639e-02 3.764537e-02 4.037259e-02 4.293029e-02 5.026680e-02 5.059278e-02 7.065633e-02 8.330610e-02 9.801114e-02 1.081305e-01 1.126729e-01 1.688616e-01 2.056883e-01 2.399701e-01 2.713780e-01 2.848145e-01 3.921754e-01 5.075389e-01 6.290336e-01 7.750450e-01 9.405382e-01 1.180434e+00 1.554509e+00 2.388852e+00 8.156696e+00 
1.383220268e-01 2.183954e-02 2.956667e-02 4.372261e-02 4.551772e-02 5.243670e-02 5.422465e-02 7.347455e-02 8.463317e-02 9.694070e-02 1.079076e-01 1.129769e-01 1.698373e-01 2.040444e-01 2.359388e-01 2.667762e-01 2.800462e-01 3.870808e-01 5.038566e-01 6.298730e-01 7.709194e-01 9.415851e-01 1.184209e+00 1.562188e+00 2.368868e+00 8.374316e+00 
1.456333955e-01 1.289241e-02 2.451245e-02 2.726950e-02 3.628040e-02 4.572356e-02 4.683333e-02 7.242359e-02 8.897789e-02 9.968145e-02 1.077052e-01 1.145190e-01 1.666672e-01 2.053252e-01 2.352096e-01 2.616440e-01 2.731808e-01 3.862162e-01 5.032067e-01 6.248371e-01 7.602821e-01 9.376420e-01 1.175501e+00 1.580027e+00 2.418065e+00 8.179017e+00 
1.536931556e-01 2.532502e-02 3.517799e-02 3.752084e-02 4.449800e-02 4.679412e-02 5.030791e-02 7.608365e-02 8.907727e-02 9.853241e-02 1.104589e-01 1.167952e-01 1.684693e-01 2.049109e-01 2.359907e-01 2.638569e-01 2.769761e-01 3.931481e-01 5.028991e-01 6.193850e-01 7.645605e-01 9.492774e-01 1.189023e+00 1.595161e+00 2.470348e+00 8.116145e+00 
1.600343275e-01 1.373054e-02 2.078113e-02 2.888225e-02 3.775409e-02 3.982709e-02 4.069804e-02 6.369216e-02 7.536302e-02 8.649137e-02 9.910410e-02 1.023967e-01 1.670166e-01 2.026016e-01 2.342417e-01 2.619659e-01 2.768850e-01 3.923356e-01 5.077864e-01 6.232294e-01 7.682221e-01 9.501192e-01 1.203729e+00 1.611128e+00 2.525086e+00 8.633799e+00 
1.651692701e-01 1.380470e-02 2.837911e-02 3.291397e-02 3.529178e-02 4.218799e-02 4.262993e-02 6.528237e-02 8.583063e-02 9.445828e-02 1.080594e-01 1.111465e-01 1.660165e-01 2.063309e-01 2.337376e-01 2.614870e-01 2.730194e-01 3.897823e-01 5.071583e-01 6.277176e-01 7.741061e-01 9.577003e-01 1.216135e+00 1.631945e+00 2.516315e+00 8.624576e+00 
1.729830128e-01 1.097832e-02 2.980959e-02 3.861643e-02 4.277088e-02 4.344735e-02 4.891350e-02 7.633286e-02 8.683347e-02 9.419001e-02 1.024321e-01 1.085073e-01 1.620027e-01 1.963013e-01 2.273894e-01 2.522921e-01 2.650081e-01 3.862991e-01 5.008499e-01 6.239937e-01 7.703443e-01 9.494310e-01 1.209622e+00 1.619842e+00 2.498422e+00 8.542531e+00 
1.801150342e-01 1.817738e-02 2.641852e-02 3.176267e-02 3.724327e-02 4.384119e-02 5.057400e-02 6.781535e-02 8.058393e-02 9.345930e-02 1.044299e-01 1.098034e-01 1.616724e-01 2.009897e-01 2.303223e-01 2.553393e-01 2.670834e-01 3.839829e-01 4.983583e-01 6.195967e-01 7.623836e-01 9.481366e-01 1.212045e+00 1.623929e+00 2.496537e+00 8.579580e+00 
1.855531802e-01 1.931249e-02 2.062831e-02 2.624832e-02 3.196563e-02 3.552693e-02 3.843122e-02 5.781978e-02 7.838077e-02 9.228835e-02 1.046925e-01 1.087546e-01 1.616579e-01 1.975487e-01 2.284079e-01 2.560387e-01 2.688560e-01 3.839656e-01 4.969265e-01 6.137405e-01 7.588023e-01 9.429965e-01 1.196363e+00 1.628967e+00 2.512800e+00 8.078951e+00 
