# Lagrange radii [code units]
#1:t 2:r(0.0001) 3:r(0.0003) 4:r(0.0005) 5:r(0.0007) 6:r(0.0009) 7:r(0.001) 8:r(0.003) 9:r(0.005) 10:r(0.007) 11:r(0.009) 12:r(0.01) 13:r(0.03) 14:r(0.05) 15:r(0.07) 16:r(0.09) 17:r(0.1) 18:r(0.2) 19:r(0.3) 20:r(0.4) 21:r(0.5) 22:r(0.6) 23:r(0.7) 24:r(0.8) 25:r(0.9) 26:r(0.99)
1.147055659e-04 3.185883e-02 3.464064e-02 4.957601e-02 5.695581e-02 6.148511e-02 6.347185e-02 9.471260e-02 1.101192e-01 1.160902e-01 1.265253e-01 1.313662e-01 1.927479e-01 2.413103e-01 2.735456e-01 3.003515e-01 3.145146e-01 4.226671e-01 5.520984e-01 6.706542e-01 8.113413e-01 9.647885e-01 1.167523e+00 1.454468e+00 1.894164e+00 3.001417e+00 
1.232269430e-04 3.201891e-02 4.058845e-02 4.115793e-02 4.911186e-02 5.354010e-02 5.364319e-02 8.197392e-02 1.008656e-01 1.133138e-01 1.220121e-01 1.267403e-01 1.941021e-01 2.308618e-01 2.615351e-01 2.954215e-01 3.049736e-01 4.359391e-01 5.474929e-01 6.753869e-01 8.207606e-01 9.732861e-01 1.169571e+00 1.444245e+00 1.876779e+00 2.940032e+00 
1.307227986e-04 2.438970e-02 3.948983e-02 4.594473e-02 4.924799e-02 5.671392e-02 5.972383e-02 7.624569e-02 9.611414e-02 1.116923e-01 1.245553e-01 1.306146e-01 1.949074e-01 2.341092e-01 2.653732e-01 2.961482e-01 3.128970e-01 4.395657e-01 5.506661e-01 6.766986e-01 8.113241e-01 9.751865e-01 1.178048e+00 1.449308e+00 1.876211e+00 2.970891e+00 
1.424947638e-04 3.386264e-02 4.349863e-02 4.782912e-02 5.641670e-02 5.934643e-02 6.044309e-02 8.470656e-02 1.007748e-01 1.163126e-01 1.261983e-01 1.317090e-01 1.938790e-01 2.429597e-01 2.787251e-01 3.090262e-01 3.219296e-01 4.409524e-01 5.550199e-01 6.803164e-01 8.208484e-01 9.700054e-01 1.167477e+00 1.445542e+00 1.885335e+00 3.037477e+00 
1.537930223e-04 2.470407e-02 3.105020e-02 3.926807e-02 4.951821e-02 5.655958e-02 5.661677e-02 8.950937e-02 1.095497e-01 1.207734e-01 1.306001e-01 1.330202e-01 1.917179e-01 2.327371e-01 2.664960e-01 2.990947e-01 3.108082e-01 4.403064e-01 5.580439e-01 6.840487e-01 8.206926e-01 9.733413e-01 1.170204e+00 1.467066e+00 1.937501e+00 2.993908e+00 
1.591484673e-04 2.887217e-02 3.303027e-02 3.980755e-02 5.058897e-02 5.905823e-02 6.049948e-02 9.018894e-02 1.087337e-01 1.193966e-01 1.296803e-01 1.318290e-01 1.939554e-01 2.317304e-01 2.707512e-01 2.988720e-01 3.138063e-01 4.498265e-01 5.710051e-01 7.003655e-01 8.333724e-01 9.915700e-01 1.190955e+00 1.468890e+00 1.903939e+00 3.017096e+00 
1.686505595e-04 1.779494e-02 4.338088e-02 5.140690e-02 5.657200e-02 6.180867e-02 6.268692e-02 8.904954e-02 1.089310e-01 1.178701e-01 1.298733e-01 1.358760e-01 1.988783e-01 2.424057e-01 2.804376e-01 3.120449e-01 3.241692e-01 4.545857e-01 5.739381e-01 6.953007e-01 8.355301e-01 9.844299e-01 1.190226e+00 1.464296e+00 1.885879e+00 2.977942e+00 
1.747258709e-04 3.031421e-02 3.736474e-02 4.373871e-02 4.595230e-02 5.396405e-02 5.851276e-02 7.774252e-02 1.027845e-01 1.176123e-01 1.307588e-01 1.363932e-01 1.974110e-01 2.379040e-01 2.772157e-01 3.056401e-01 3.200017e-01 4.463258e-01 5.588356e-01 6.801382e-01 8.220017e-01 9.831374e-01 1.188628e+00 1.462240e+00 1.897649e+00 2.978372e+00 
1.907474921e-04 1.803682e-02 1.976720e-02 2.071111e-02 2.455868e-02 3.629349e-02 3.958703e-02 7.622160e-02 1.013747e-01 1.203117e-01 1.351812e-01 1.385316e-01 1.997645e-01 2.409428e-01 2.764649e-01 3.036890e-01 3.207081e-01 4.523608e-01 5.663935e-01 6.878956e-01 8.245818e-01 9.813382e-01 1.182812e+00 1.471134e+00 1.927379e+00 3.075068e+00 
2.072138782e-04 3.173897e-02 4.214331e-02 4.553758e-02 5.721541e-02 6.063845e-02 6.094218e-02 8.539209e-02 9.887600e-02 1.135403e-01 1.221714e-01 1.244048e-01 1.974912e-01 2.396310e-01 2.754133e-01 3.084723e-01 3.246993e-01 4.451208e-01 5.627273e-01 6.953974e-01 8.358001e-01 9.886163e-01 1.193189e+00 1.490551e+00 1.938796e+00 2.975119e+00 
2.330228058e-04 3.178945e-02 3.233780e-02 3.305494e-02 3.622714e-02 4.270432e-02 4.577238e-02 7.024536e-02 9.735324e-02 1.164507e-01 1.257843e-01 1.330604e-01 2.030297e-01 2.466435e-01 2.838637e-01 3.127014e-01 3.248311e-01 4.482886e-01 5.656340e-01 6.919711e-01 8.340386e-01 9.880425e-01 1.204839e+00 1.493656e+00 1.939364e+00 3.052924e+00 
2.604788086e-04 7.361699e-03 3.033549e-02 3.919428e-02 5.001847e-02 5.513459e-02 5.783050e-02 8.831999e-02 1.078953e-01 1.196598e-01 1.319056e-01 1.363908e-01 1.957968e-01 2.429481e-01 2.812294e-01 3.152184e-01 3.267762e-01 4.592319e-01 5.747230e-01 6.963790e-01 8.448363e-01 1.004678e+00 1.210751e+00 1.503066e+00 1.966218e+00 3.161025e+00 
2.868110588e-04 3.008656e-02 4.001646e-02 4.288425e-02 5.043681e-02 5.267341e-02 5.321975e-02 8.776177e-02 1.081662e-01 1.201307e-01 1.323546e-01 1.373305e-01 2.059120e-01 2.494737e-01 2.821972e-01 3.153291e-01 3.280060e-01 4.600295e-01 5.841310e-01 7.126811e-01 8.547353e-01 1.025820e+00 1.227659e+00 1.520762e+00 1.999592e+00 3.120057e+00 
3.141652482e-04 3.676819e-02 4.518388e-02 5.506795e-02 5.805440e-02 6.658957e-02 7.027769e-02 8.585704e-02 1.039505e-01 1.194674e-01 1.329789e-01 1.389011e-01 2.056390e-01 2.495488e-01 2.855151e-01 3.166580e-01 3.289947e-01 4.601653e-01 5.804335e-01 7.099566e-01 8.538036e-01 1.021341e+00 1.228884e+00 1.522816e+00 2.000922e+00 3.191403e+00 
3.648458064e-04 3.710498e-02 4.940478e-02 5.552061e-02 6.372529e-02 7.194407e-02 7.491366e-02 9.758455e-02 1.134253e-01 1.269950e-01 1.429604e-01 1.473671e-01 2.170285e-01 2.637017e-01 3.006864e-01 3.292993e-01 3.426503e-01 4.740359e-01 6.016753e-01 7.275678e-01 8.671626e-01 1.038223e+00 1.243042e+00 1.541971e+00 2.005408e+00 3.241053e+00 
4.053902529e-04 3.819301e-02 4.283482e-02 4.821941e-02 5.707803e-02 5.846110e-02 5.947808e-02 9.430775e-02 1.132162e-01 1.277492e-01 1.426718e-01 1.450179e-01 2.142869e-01 2.579558e-01 2.975467e-01 3.293363e-01 3.450472e-01 4.713288e-01 6.015888e-01 7.311677e-01 8.825472e-01 1.052793e+00 1.263715e+00 1.570258e+00 2.047324e+00 3.287162e+00 
4.762818207e-04 3.939065e-02 4.108385e-02 4.562597e-02 5.645214e-02 6.677888e-02 6.682280e-02 1.001325e-01 1.162359e-01 1.289937e-01 1.380499e-01 1.440108e-01 2.165739e-01 2.563363e-01 2.981725e-01 3.350269e-01 3.486815e-01 4.772778e-01 6.118894e-01 7.455449e-01 8.970444e-01 1.072574e+00 1.289151e+00 1.589362e+00 2.065936e+00 3.259654e+00 
